cantonese,english,greedy,beam
架車撞咗埋埲牆度。,The car crashed into the wall.,Өзiңiздiкiгiнiмiпiшiлiтiiддттeiсiрi.,Қазіргі уақытта салыстыратын құбырды.
噉嘅字典至少都應該有兩句「雪櫃」嘅例句啩。,"In a dictionary like this one there should be at least two sentences with ""fridge"".",Бұл үшін «Жеңір» және «Сенде» деген әлі де ұзынды.,«Жеңір» АҚШ-ның «Қыстық» және «Тұқсат» бағдарламасы бар.
我已經決定咗喇。,I made my decision.,Менің қазір қарап отыр.,J’ai décidé d’aller à la Lâle.
我哋有一位教宗。,We have a Pope.,Je pense qu'il y a un pape.,J’ai certainement un pape.
你可唔可以晏啲再打電話嚟呀？,"Could you call again later, please?","Kan du kanske ringa igen, kanske?","Kan du kanske inte ringa igen, kanske?"
我已經三日無瞓過喇，真係攰到死呀！,I can't take it anymore! I haven't slept for three days!,"Мен 3 жылдан кейінгі, бұл жерде айтылады!","J'ai passé trois jours sans le faire, j'en suis arrivé à la mort !"
喂，睇吓，有隻三個頭嘅馬騮呀！,"Hey, look, a three-headed monkey!","Бұл қазір, бұл жерде түйіп, т.б.",Өзiмiкiздiгiшiн тiлiтiпiрiсiң кiвiбi!
鳩到講唔出口嘅說話就會變成歌詞。,Anything that is too stupid to be spoken is sung.,Бұл тек тек қанағаттанды да салыстырды.,«Атлантикалық» және «Тұлтшылдық» бағдарламасымен таныстырылған.
我哋已經玩完㗎喇，俾返隻戒指我啦！,It's over between us. Give me back my ring!,"Менің қазір менің тіпті, мен қасым мен өсімде!","J'ai certainement terminé le jeu, certes retourner l'anneau à moi !"
我聽日去圖書館溫書。,"Tomorrow, I'm going to study at the library.",Менің қазір кірiң биiмiкiнiпiзi.,Қазіргі таңда бүкіл әлем қаржылық дағдарыста.
對佢嚟講，「肚餓」係一個抽象嘅概念，因為佢根本就無試過肚餓。,"To him, hunger was an abstract concept; he always had enough to eat.","Бұл қағидалар мен қаһарманның «аяқ» деп хабарлады, деп ойлаймын.","ان کي چيو ته، ""بھڪ"" هڪ انتزاع جو تصور آهي، جيتوڻيڪ ان لاءِ ڪو امتحان نه ڪيو آهي."
我唔會輸嘅！,I won't lose!,Менің қазір не айтылады!,Je ne transporterai pas !
我想打乞嗤呀⋯⋯俾張紙巾我吖。,I think I'm gonna sneeze. Give me a tissue.,Менің қазір менің жарыққа жатады.,"Өзiмдiкiшiнiгiлiпiрiсiтiңi,i.e."
千祈唔好自殺。,Never try to die.,Ta cầu nguyện không tự tử.,수천 명은 자살을 하지 않는다.
幾時食飯呀？好鬼肚餓呀！,When are we eating? I'm hungry!,Өзiмiңiнiкiздiпiшiлi?iiрiтiгiдттei,何時食べるの?お腹が空いているの!
"""多謝"" ""唔使唔該。""","""Thank you."" ""You're welcome.""",«Құқсат» деп айтылады.,“Cảm ơn” “Không nên”
"""多謝""。 ""唔使唔該。""","""Thank you."" ""You're welcome.""",«Бықша» деп айтылады.,“Cảm ơn” – “Không nên”
"""多謝你。"" ""唔使客氣。""","""Thank you."" ""You're welcome.""",«Бықшаң» деп айтылады.,“Cảm ơn anh.” “Không làm khách khí.”
兔仔對耳好長、條尾好短。,A rabbit has long ears and a short tail.,Бұл қағидалар мен қаһарманның қақпаты.,"Қаншалықты ұзақтығы, ұрпақты жасайды."
如果你借廿蚊俾人，之後就再見唔到佢，咁嗰廿蚊應該係值得俾嘅。,"If you lend someone $20 and never see that person again, it was probably worth it.","Қазір, бұл жерде де ұзақ уақытқа дейін, ол жерге ұрпаққа ұрылады.",جيڪڏھن اوھين ماڻھوءَ کي قرض ڏيندين ته اُن کانپوءِ نه ڏسو، اِھو ته 20 مُوسىءُ کي سزا ڏيندي آھي.
屌，邊條仆街半夜三更打俾我呀？！,"Holy crap, who's the asshole who dares call me in the middle of the night?!","Қандай, менің қазір мен қаңтар мен басыққалы мен жарыққа бар?","Қандай-ақ, қаңтарда 3 жылға жұлдыз бар?"
你仲喺度諗緊生命嘅意義呀？,You are still asking yourself what the meaning of life is?,Бұл қазір менің қағидалар мен қаһарманның қауымда?,Қазіргі уақытта өңдеуге айтылады?
睇吓個用戶名同密碼有無填錯。,Check that your username and password are written correctly.,Бұл қағидалар мен қаһарманның қаңтармен қауымдастырылған.,Қазіргі уақытта өңдеуге қарастырып қарап отыр.
唔好唔記得我哋呀！,Don't forget about us!,Je ne me souviens pas que je m'en souvienne !,Je ne me souviens pas que je m'en souviendrais !
西班牙俾貼士要俾幾多到㗎？,How much do you leave for a tip in Spain?,Combien de personnes en Espagne ont-elles besoin de faire des recherches ?,¿Cuántas empresas españolas se acercan a las empresas?
我哋唔迫自己開心嘅話，應該都會幾開心吖。,If only we'd stop trying to be happy we could have a pretty good time.,"Менің қазір менің жарыққа қасиетті, қаңтар мен қасымда қазанды.","Mən özümə bir şey söyləmək istəmirəm, hər şeyin başını açmalıyım."
人類可以穿越時空，速度仲好快添，每秒一秒。,We can travel through time. And we do at the remarkable rate of one second per second.,"A humanidade pode atravessar o espaço do tempo, a velocidade se ajusta rapidamente, cada segundo.","A humanidade pode atravessar o espaço do tempo, a velocidade entre si e rapidamente, por segundo e segundo."
如果我哋知道自己做緊啲咩，咁就唔叫做研究啦，係咪先？,"If we knew what we were doing, it wouldn't be called research, would it?","Бұл үшін, бұл идеялар мен идеялары мен басқа да басқа басқа, басқа.","Si je sais que je fais des études, ce n’est pas une étude, monsieur, d’abord ?"
放低手！,Put your hands down!,Giữ tay xuống!,手を下げる!
唔重要㗎！,It's not important.,Pas important pour moi !,Không quan trọng đâu!
我一路期待緊㗎喇！,I was expecting it!,Менің қазір мен қасымда жасайды!,Қазіргі таңда бүкіл әлемге қарап отырмын!
唔好唔記得張飛。,Don't forget the ticket.,Не күлеріңді бірақ.,飛ぶことを覚えていない。
你好靚呀。,How beautiful you are!,Өзiңiмiздiкiнiшi.,Өйткені жақсы.
我唔知我有無時間搞呢件事。,I don't know if I'll have time to do it.,Je ne sais pas si je n'ai pas le temps de faire quelque chose.,Je ne sais pas si je n'ai pas le temps de faire quelque chose.
你咁樣衰，整容都冇用㗎喇。,Even plastic surgery won't do anything for your ugliness.,"Қазір, ол да салыстырды, қазір да да бар.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
你面試面成點呀？,How did your interview go?,Қазіргі таңда сізге ұлылымыз?,Vous êtes en train d’essayer ?
你見工見成點呀？,How did your interview go?,Қандай-ақ қазір қандай?,Bạn thấy công việc thành điểm?
我以為自己睇錯。,I can't believe my eyes.,Je me trompe pour moi-même.,Je me trompe pour moi-même.
你唔攰呀？,Are you not tired?,Tu n’en a pas ?,Tu n’as pas aimé ?
你哋唔攰呀？,Are you not tired?,Tu ne m’en souviens pas ?,Určitě se vám to nepodaří?
你唔知佢兩年前瓜咗老襯咩？,Didn't you know that he passed away two years ago?,Бұл қазір 2 жылдан кейін қанаққалымыз?,Қандай-ақ 2 жылдан қайтарып келдім?
你支持定係反對戰爭呀？,Are you for the war or against it?,Vous êtes contre la guerre ?,Vous soutiez-vous de la guerre ?
如果你勤力啲學習，係有希望通過考試嘅。,"If you study earnestly, you can expect to pass the exam.","Қандайды, бұл жерде да көптеген жылдар мен қазір да, ол да да.","Jika Anda bekerja keras untuk mempelajari, ada harapan untuk melewati peperiksaan."
你係時候買返架新車喇喎。,It's time for you to buy a new car.,Қазіргі таңда бүкіл әлемде өте көп айтылады.,പുതിയ കാർ വാങ്ങാൻ നിങ്ങൾക്ക് സമയം ലഭിക്കും.
你應該學吓控制自己嘅情緒。,You should learn to restrain yourself.,Өзiң жасайтын өңдеуге өнерінен өлеңдер.,Bạn nên học cách sợ hãi kiểm soát cảm xúc của chính mình.
你自己做過嘅嘢，就要自己負返責任。,You should be responsible for your actions.,"Jika kamu melakukan hal tersebut, maka kamu harus kembali bertanggung jawab.","Si vous avez fait des affaires, vous devez vous rembourser la responsabilité."
你終於成功搵到工喇！,You finally succeeded in getting a job.,Қазір бізге өзара өңдеуге болады!,Vous avez fini par réussir à travailler !
你自己嘅錢，鍾意點使咪點使囉。,You are free to do as you please with your money.,"Қандай, ол менің қазір мен қасиетті.",Қазіргі уақытта өңдеуге болады.
你抄書嗰陣抄漏咗一隻字喎。,You've left out a word in copying the textbook.,Бұл тек тек қанақтықты бар.,Қазіргі уақытта қазақ тілінің бір-бірімен салыстырады.
望咩呀望？,What are you looking at?,Қазір қазір?,Қазіргі уақытта жəне?
你望咩啫？,What are you looking at?,Vous attendez ?,Vous vous attendez ?
你應該努力啲讀書。,You should study harder.,Vous devez vous efforcer de lire le livre.,Je moet ernaar streven om het boek te lezen.
你而家係大人嚟㗎喇，唔好再好似成個細路咁喇。,"Now that you are grown up, you must not behave like a child.","Өзiң қанақiпiз, қатақип, жабiмiн қалыңiрi.",Қазіргі уақытта өңдеуге қарастырып қарап тұрады.
你仲未洗手喎，係唔係呀？,"You haven't washed your hands yet, have you?","Қаншама қазір, қаңтар мен қасымда?","Қаншама қасиетті, қаңтар мен қазама?"
你點解想買呢本書呀？,Why do you want to buy this book?,- Anh có nghĩ mua sách không?,Har du lyst til å kjøpe denne boken?
你要筆錢嚟做咩呀？,What do you need the money for?,Bạn muốn kiếm tiền để làm kinh doanh?,Vous voulez faire des affaires avec de l'argent ?
你一定要諗清楚你想做啲點嘅工。,You must consider what kind of work you want to do.,Anda pasti pasti tahu bahwa Anda ingin melakukan pekerjaan yang tepat.,Du må være sikker på at du ønsker å gjøre点♰ arbeid.
你好似好攰咁喎。,You look very tired.,Tu es bien en train de faire ça.,Vous avez l’impression d’être bien fait.
你點識佢㗎？,How did you come to know her?,Vous le connaissez bien ?,Vous le connaissez bien ?
你做咩講埋啲噉嘅嘢呀？,Why did you say such a thing?,Бұл қазір мен қағидалар мен жарықтар?,Қазіргі уақытта өңдеуге айтыладым?
你俾咗邊個呀？,Who did you give it to?,Бұл қазір мен қасымда?,Vous aimez le côté ?
你成日都做錯嘢。,You're forever making mistakes.,Tu fais des erreurs tous les jours.,Vous faites des erreurs tous les jours.
你後日一定要做完呢份功課。,You must get this homework finished by the day after tomorrow.,Sonradan işləyə bilərsən.,Sonraki İçerikSonra işiniz bitirir
你識唔識讀呢個漢字呀？,Can you read this kanji?,Бұл қазір мен қаңтар мен ұлқым?,Tu ne sais pas lire un canapé ?
你喺呢度簽個名就得㗎喇。,You have only to sign your name here.,Sizə də bir neçə dəfə təhrizə veriləcək.,Қазіргі уақытта бір-қатынас тағайындалды.
你喺度簽個名就得㗎喇。,All you have to do is sign your name here.,Sizə bir neçə dəfə imza atmaq lazımdır.,നിനക്ക് ഒരു പേരു നല് കണം.
你通常幾點起身㗎？,What time do you usually get up?,Hur ofta vaknar du upp?,Bạn thường thức dậy bao nhiêu giờ?
如果你諗住去美國嘅話，你最好練好你啲英文先。,You better brush up your English if you go to America.,"Nếu bạn muốn sống ở Mỹ, bạn nên tập luyện tốt nhất bằng tiếng Anh trước.","Jika Anda ingin tinggal di Amerika Serikat, sebaiknya Anda mempelajari bahasa Inggris terlebih dahulu."
你要食早餐啊。,You need to have breakfast.,Tu vas manger le petit déjeuner.,Vous allez manger le petit déjeuner.
你啲頭髮長得濟。,Your hair is too long.,Қазір бұл жарыққа жатады.,Қазіргі уақытта тыныстық жасайды.
你啲頭髮都好唔整齊噃。,Your hair really does look untidy.,"Du har ju inte håret bra, men det är ju bra.",Anda pasti memiliki rambut yang baik dan tidak sempurna.
你方便嘅時候嚟見我吖。,Come and see me when it is convenient for you.,Менің қазір менің жарыққа дағдырымыз.,Қазіргі уақытта тыныш мен өнерімен танымал.
我唔記得咗你個電話號碼。,I forget your phone number.,Je ne me souviens pas de ton numéro de téléphone.,Je ne me rappelle pas ton numéro de téléphone.
我唔記得咗你個電話號碼。,I forget your telephone number.,Je ne me souviens pas de ton numéro de téléphone.,Je ne me rappelle pas ton numéro de téléphone.
你生日就到啦噃。,Your birthday is drawing near.,Sinh nhật của bạn sẽ đến La.,Din födelsedag kommer till La.
你隻錶準唔準㗎？,Is your watch correct?,Қазіргі таңда тыныстық қанаққа?,Қазіргі уақытта қайтарып келдім?
你隻錶慢咗十分鐘。,Your watch is ten minutes slow.,Қазіргі таңда 10 минут қанаққалы.,Қазіргі уақытта 10 мыңға жуық.
你啲文章寫得好好，但係有好多字串錯咗。,Your composition was good except for the spelling.,"Бұл тек тек қанаққалы, бұл тек де де ұзынды.","Anda pasti menulis dengan baik, tetapi ada banyak huruf yang salah."
你間學校喺邊呀？,Where is your school?,Школаның өңдеуге қарастырып?,Школының әртүрлі қауымда?
如果唔係有你幫手，我生意一定唔會咁成功。,"If it had not been for your aid, I would not have succeeded in my business.","Jika tidak ada bantuan dari Anda, bisnis saya pasti tidak akan sukses.","Nếu không có sự giúp đỡ của bạn, kinh doanh của tôi chắc chắn sẽ không thành công."
你啲英文進步咗好多。,Your English has improved a lot.,Vous avez certainement beaucoup de progrès en anglais.,Vous avez certainement beaucoup de progrès en anglais.
你唔好嬲我啦，我咁做都係為咗你㗎咋。,"Don't be angry with me, for I did it for your sake.",Менің қазір менің жарыққа қасиетті мен қаңтар мен өңдеуге болады.,"Қандай-ақ, менің қағидалар мен өңдеуге қарап отырмын."
你一流嘅工作令我感到慚愧。,Your excellent work puts me to shame.,Менің қазір менің жарыққа жатады.,Votre travail de premier ordre me rend honteux.
你件恤衫粒鈕就嚟甩喇。,Your shirt button is coming off.,Қазіргі таңда сіздің кешіне кешiнiң.,Қазіргі уақытта бір-бірімен таныстырды.
你嗰班有幾多人㗎？,How many are there in your class?,Hur många personer har du rapporterat?,Combien de personnes avez-vous apprécié ?
我唔小心拎錯咗你把遮。,I took your umbrella by mistake.,Менің қазір мен қасымда қанаққалып отыр.,Не күлеріңді білмейді.
感激不盡。,I can't thank you enough.,Cảm ơn vô tận,無限に感謝。
真係唔知點多謝你好。,I can't thank you enough.,Бұл қазір менің қазыққа қазады.,真実の知り合い、ご挨拶ありがとうございました。
我借呢本書畀你啊。,I'll lend you this book.,"Je t’ai emprunté ce livre, j’aime bien.",Jag lånar boken och jag gillar dig.
你實掂嘅！加油呀！我會支持你！,You can make it! Go for it. I'll stand by you.,Қайтақтың өңдеуге қарап отыр! – деп ойлаймын!,Өзiмдiкiшiнiлiңiгiтiпiсi!iiрмiвiз кiбi
佢同你一樣，打哥爾夫球都好勁。,"He, just like you, is a good golfer.","Comme toi, le golf est bon.","Comme toi, le golf est bien joué."
我唔鍾意你哋兩個去埋啲噉嘅地方。,I don't like both of you going to such a place.,"Менің қазір, екі жерге қанаққалып отыр.","Қандай-ақ, бір-бірішiң өнерімен кепiкiмдi."
你話咗俾我聽之後，我先知呢份文件有幾咁緊要。,I hadn't recognized the importance of this document until you told me about it.,"Mənim sözlərimdən sonra, Peyğəmbərimə nə qədər danışdığım?",مون کي ٻڌڻ کان پوءِ تون ڳالھائي سگھندين ته منھنجو پيغمبر (صلی الله علیه و آله و سلم) ڪھڙي طرح مڃيندڙ آھي.
你粒聲唔出，啫係唔滿意我嘅答案啦。,I take it from your silence that you are not satisfied with my answer.,"Менің қазір, менің жарыққа қасиетті не айтылады.","Қандай-ақ, менің қанағаттанды не айтылады."
一係你錯，一係佢錯。,Either you or he is wrong.,"Олардың да, бір да бір қағидалар.","Si tu me trompe, c’est une erreur."
你諗住買嗰架車幾多錢㗎？,How much is the car you are planning to buy?,Hur mycket pengar kan du köpa bil?,Hvor mye penger kan du kjøpe for å kjøpe bil?
你成唔成功，就要睇吓你努唔努力喇。,Whether you will succeed or not depends on your efforts.,"Қандай, ол да неге жасайды, не күтеп,",Қазіргі уақытта тыныстық қағидалар мен құбырлардан тұрады.
因為你唔夠努力，所以先會失敗。,The reason why you failed is you did not try hard enough.,"Parce que vous n’effectuez pas assez d’essai, vous échouez d'abord.","Bởi vì bạn không cố gắng đủ, bạn sẽ thất bại trước."
你應該自己同老師講。,You should talk to the teacher yourself.,Vous devez vous parler avec le professeur.,Měli byste mluvit sami s učitelem.
無咩嘢好味得過你整啲嘢食。,Nothing is so tasty as the dish you make.,Өзiңiнiкiз өтуiмiрiпiшiлiгiдi.,Tu as du bon goût à tout manger.
你啱啱先食完晚餐，無理由咁快就肚餓嗰喎。,You can't be hungry. You've just had dinner.,"Vous allez bien manger avant le dîner, sans raison, vous alleez vite avoir faim.","Bạn chắc chắn sẽ ăn xong bữa tối trước, không có lý do gì để nhanh chóng bị đói."
我尋晚留喺屋企等聽你電話。,I stayed home last night to be able to receive your call.,Менің телефонға дейін өтіріп келдім.,"Қазіргі уақытта, бізге телефонға айтылады."
計吓你用咗幾多錢買書。,Try to estimate how much you spent on books.,Bu barədə çoxlu məlumatlar alınır.,"Қандай-ақ, біз бір-бірімен кеңінен танымал."
你信又好，唔信又好，對我嚟講無咩分別。,It makes little difference to me whether you believe it or not.,Mənim üçün yaxşı və yaxşı sözlər var.,تون ايمان آڻيو، نه مڃيو ۽ نه چڱو، بيشڪ مون کي ڪو فرق نه آھي.
你一定會後悔㗎。,The time will come when you will be sorry for it.,Vous vous regretterez certainement.,Du kommer säkert att ångra dig.
我好掛住你。,I miss you very much.,Je te tiens bien.,Je te tiens bien.
呢封信係俾你㗎。,Here is a letter for you.,Бұл қағидалар мен қаһарманның қасиеттері.,ҚазАқпарат – Ақтөбенің қағидасы
你唔明。,You don't understand.,Не күлерің.,Εσύ δεν ξέρεις.
麻煩你入屋之前除咗對鞋先吖。,Please remove your shoes before entering the house.,"Қазір, бізге қазірге дейін ұрпаққа келдім.",Evə gəlmeden əvvəl ayakkabını yollamaq.
佢啱啱先食完晏，無理由會肚餓。,He cannot be hungry; he has just had lunch.,"Bu gün, hamısı açlıqdan qorxur, heç bir sebep olmadan yulaq.","Əvvəlki xəbərlər » Gələcək, heç bir şey yeməyəcək"
唔該你話我聽機場點去吖。,Please tell me how to get to the airport.,"Ауыздан да, бұл астам астыға да айтылады.",飛行機の話を聞かないでください。
無咗空氣同水，人類就生存唔到。,Both air and water are indispensable for life.,"Su ilə havadan, insanlığın yaşayacağı bir şey yoxdur.","Sem ar e água, a humanidade não sobrevive."
月球表面冇空氣，所以冇風，亦都冇聲音。,Without air there can be no wind or sound on the moon.,"Бұл қазір, қаңтар мен қазан мен жазалық жазық.","Сондай-ақ, қаңтарда жасайды, солдан да айтылады."
空肚飲酒對身體唔好㗎。,Drinking on an empty stomach is bad for your health.,Vapaa vatsa juominen ei ole hyväksi keholle.,L’alcool n’est pas bon pour le corps.
有錢人未必比窮人幸福。,The rich are not always happier than the poor.,Orang kaya tidak lebih bahagia dari orang miskin.,Os ricos não são mais felizes do que os pobres.
嗰啲錢收埋咗喺地板下面。,The money was hidden beneath the floorboards.,"Қандай келді, ол тазасы бар.",L’argent est enterré sous le sol.
我冇錢，但係我有夢想。,"I have no money, but I have dreams.","Je fais de l’argent, mais j’ai des rêves.",Je fais de l’argent mais j’ai des rêves.
睇嚟好似冇晒錢囉喎。,It seems like there's no money left.,Бұл қазір мен қаңтар мен жарыққа қазанды.,Қазіргі уақытта өңдеуге келдім.
而家啲細路唔會通山跑㗎喇。,Nowadays children do not play outdoors.,Өзiңiмiздiкiнiпiшiгiтiлiдттeiрiсiiвiбi.,Қаланың тұрақты тұрғындарының саны 10 адамды құрайды.
雖然我同佢住得好近，但係都好少見到佢。,"Although her house is nearby, I seldom see her.","Bien que je vivais très près de lui, les agents le voient rarement.","Selv om jeg bor i nærheten av henne, så ser jeg henne sjelden."
呢頭有無戲院㗎？,Are there any movie theaters near here?,Бұл қазір неге қанақтар?,Қазіргі уақытта қазақстандық театр бар?
緊急聯絡電話幾多號呀？,What is the emergency telephone number?,Số điện thoại khẩn cấp bao nhiêu?,緊急電話番号はいくら?
我想坐非吸煙區。,I would like to sit in the non-smoking section.,Je veux rester dans un quartier non fumeur.,Jag vill sitta i icke-rökningsområdet.
我一路切洋葱，啲眼淚就一路滮出嚟。,Tears came into my eyes when I was chopping onions.,"Менің қолылысы, қазір мен қазыққа да салыстыр.","Өйткені, біреуге қарастырып келдім."
個班房裏面剩返好少學生。,There were few students remaining in the classroom.,Өзiңiмiкiнiпiздiгiшiлiтiддттдaтaдeгaзaшaлaa,Қазіргі таңда бүкіл студенттер өз басымды.
啲老師想俾啲動力班學生。,The teachers are trying to motivate their students.,Бұл студенттер мен студенттік қағидалар бар.,Өйткені студенттер мен педагогикалық мақалалар бар.
唔好驚！,Don't be afraid.,Не күлеріңді!,Ikke så overraskende!
啲警察根據現場留低嘅證物搵到個賊仔。,The burglar was traced by one of the things he had left on the scene.,"Бұл жерде бұл жерге қарастырылған да, жердің жерді.",Қазіргі уақытта «Жеңізде» өнерінің бір-бірімен қағидалардан тұрады.
我條喉俾魚骨骾親咗。,I got a fish bone stuck in my throat.,Менің жарысқа шығысқа жаруға болады.,Өзiмiкiнiгiздiпiшiлiтiң әсiрi.
佢舊年開始喺嗰間公司度返工。,He began to work for that company last year.,В прошлом году компания начала работать вновь.,В прошлом году компания начала работать вновь.
我買咗兩枝牛奶。,I bought two bottles of milk.,Je viens de acheter deux bouteilles de lait.,J’ai acheté deux morceaux de lait.
牛食草。,Cattle feed on grass.,Өзiң жарық.,牛食草。
我一收到錢就即刻還錢俾你。,As soon as I get paid I will pay you back.,När jag får pengarna så får jag tillbaka pengar direkt.,Po obdržení peněz vám okamžitě vrátím peníze.
個侍應拎咗個新碟俾我哋。,The waiter brought a new plate.,Менің қазір мен қаңтар мен жарыққа қапталған.,Қазіргі уақытта бір-бірімен таныстырып келді.
我真係唔知笑好定喊好。,I don't know whether to cry or to laugh.,Менің жасыққа қазір не айтылады.,Je ne peux pas vraiment rire et crier bien.
我趕時間嗰陣唔會喺呢到過馬路。,I avoid crossing the street here if I am in a hurry.,"Қандай-ақ, бұл күнге дейін не күшкен.","Қандай-ақ, қаңтарда жарыққа ұрпаққа келдім."
快手啲啦，我哋無乜時間淨㗎喇。,Hurry up. We've little time to waste.,"Қайтаққа, менің жастарды жастағы.","Қандай-ақ, менің жарыққа қанаққа шығарды."
快啲啦，如果唔係我哋就遲到㗎喇。,"Hurry up, or we'll be late.","Бұл қазір, бұл қағидалар мен қаһарманға да айтып.","Қандай-ақ, қазір мен әңгімелер мен көзіп келдім."
放假玩得開唔開心呀？,Did you enjoy your holiday?,Får ni semester och leker inte?,Faire des vacances sans s’ouvrir ?
我可唔可以抖陣呀？,May I take a rest?,Қандай да не айтасыз?,Je ne peux pas tremper ?
你放假諗住去邊度玩呀？,Where are you going to go on your vacation?,Du är på semester och vill bo vid sidan av spelet?,Vous êtes en vacances et vivez à côté ?
座山上面有一間屋。,There is a house on the hill.,"Өйткені, ол да салыстырды.",Di atas bukit ada sebuah rumah.
